hospital,count_total,count_confirmed,date
Salem Health Hospital,43,<10,2020-06-03
Providence Portland Medical Center,17,10,2020-06-03
Legacy Emanuel Medical Center,10,<10,2020-06-03
Adventist Health Portland,<10,<10,2020-06-03
Asante Ashland Community Hospital,<10,<10,2020-06-03
Asante Rogue Regional Medical Center,<10,<10,2020-06-03
Asante Three Rivers Medical Center,<10,<10,2020-06-03
Columbia Memorial Hospital,<10,<10,2020-06-03
Good Samaritan Regional Medical Center,<10,<10,2020-06-03
Good Shepherd Health Care System,<10,<10,2020-06-03
Kaiser Permanente Westside Medical Center,<10,<10,2020-06-03
Legacy Good Samaritan Medical Center,<10,<10,2020-06-03
Legacy Meridian Park Hospital,<10,<10,2020-06-03
Legacy Mount Hood Medical Center,<10,<10,2020-06-03
Legacy Silverton Medical Center,<10,<10,2020-06-03
McKenzie-Willamette Medical Center,<10,<10,2020-06-03
Mercy Medical Center,<10,<10,2020-06-03
Mid-Columbia Medical Center,<10,<10,2020-06-03
OHSU Doernbecher Children's Hospital,<10,<10,2020-06-03
OHSU Hospital,<10,<10,2020-06-03
PeaceHealth Sacred Heart Medical Center at RiverBend,<10,<10,2020-06-03
Providence Hood River Memorial Hospital,<10,<10,2020-06-03
Providence Medford Medical Center,<10,<10,2020-06-03
Providence Milwaukie Hospital,<10,<10,2020-06-03
Hospital,<10,<10,2020-06-03
Providence Newberg Medical Center,<10,<10,2020-06-03
Providence St. Vincent Medical Center,<10,<10,2020-06-03
Providence Willamette Falls Medical Center,<10,<10,2020-06-03
Randall Children's Hospital at Legacy Emanuel,<10,<10,2020-06-03
Samaritan Lebanon Community Hospital,<10,<10,2020-06-03
Samaritan Pacific Communities Hospital,<10,<10,2020-06-03
Santiam Hospital,<10,<10,2020-06-03
Sky Lakes Medical Center,<10,<10,2020-06-03
Tuality Community Hospital,<10,<10,2020-06-03
VA Portland Health Care System,<10,<10,2020-06-03
Willamette Valley Medical Center,<10,<10,2020-06-03
