hospital,count_total,count_confirmed,date
Salem Hospital,43,12,2020-05-27
Providence Portland Medical Center,16,<10,2020-05-27
Hillsboro Medical Center,11,<10,2020-05-27
OHSU,10,<10,2020-05-27
Providence St Vincent Medical Center,10,<10,2020-05-27
Legacy Emanuel Medical Center,10,<10,2020-05-27
Asante Rogue Regional Medical Center,<10,<10,2020-05-27
Asante Three Rivers Medical Center,<10,<10,2020-05-27
Columbia Memorial Hospital,<10,<10,2020-05-27
Doernbecher Children’s Hospital,<10,<10,2020-05-27
Good Samaritan - Corvallis,<10,<10,2020-05-27
Good Shepherd Health Care System,<10,<10,2020-05-27
Legacy Good Samaritan Medical Center,<10,<10,2020-05-27
McKenzie-Willamette Medical Center,<10,<10,2020-05-27
Mercy Medical Center,<10,<10,2020-05-27
Legacy Mt. Hood Medical Center,<10,<10,2020-05-27
Mid-Columbia Medical Center,<10,<10,2020-05-27
Legacy Meridian Park Medical Center,<10,<10,2020-05-27
Adventist Medical Center,<10,<10,2020-05-27
PeaceHealth Sacred Heart MC - Riverbend,<10,<10,2020-05-27
Providence Milwaukie Hospital,<10,<10,2020-05-27
Providence Hood River Memorial Hospital,<10,<10,2020-05-27
Providence Medford Medical Center,<10,<10,2020-05-27
Providence Newberg Medical Center,<10,<10,2020-05-27
Providence Seaside Hospital,<10,<10,2020-05-27
Randall Children’s Hospital at LEH,<10,<10,2020-05-27
Samaritan Lebanon Community Hospital,<10,<10,2020-05-27
Samaritan North Lincoln Hospital,<10,<10,2020-05-27
Samaritan Pacific Communities Hospital,<10,<10,2020-05-27
Santiam Memorial Hospital,<10,<10,2020-05-27
Silverton Hospital,<10,<10,2020-05-27
Kaiser Sunnyside Medical Center,<10,<10,2020-05-27
Sky Lakes Medical Center,<10,<10,2020-05-27
Southern Coos Hospital and Health Center,<10,<10,2020-05-27
St Anthony Hospital,<10,<10,2020-05-27
VA Portland HC System,<10,<10,2020-05-27
Providence Willamette Falls Med Center,<10,<10,2020-05-27
Willamette Valley Medical Center,<10,<10,2020-05-27
Kaiser Westside Medical Center,<10,<10,2020-05-27
