facility,county,first_reported,cases,deaths,report_date
Healthcare at Foster Creek,Multnomah,3/24/2020,119,30,2020-05-27
Corvallis Manor,Benton,3/27/2020,19,3,2020-05-27
Salem Transitional Care,Marion,3/27/2020,25,3,2020-05-27
Avamere at Bethany,Washington,4/1/2020,10,0,2020-05-27
Avamere Court at Keizer,Marion,4/11/2020,6,1,2020-05-27
Country Meadows Village,Marion,4/13/2020,7,1,2020-05-27
Countryside Living of Canby,Clackamas,4/19/2020,13,2,2020-05-27
Cherrywood Village,Multnomah,4/23/2020,6,1,2020-05-27
Providence Benedictine,Marion,4/27/2020,6,0,2020-05-27
Prestige Senior Living Orchard Heights,Polk,4/30/2020,53,8,2020-05-27
Prestige Senior Living Riverwood,Washington,5/2/2020,9,1,2020-05-27
Jennings - McCall Center,Washington,5/4/2020,7,1,2020-05-27
Parkview Christian Assisted Living,Multnomah,5/4/2020,9,0,2020-05-27
Odd Fellows Home,Multnomah,5/4/20202,9,1,2020-05-27
"Prestige Post-Acute Care and 
Rehabilitation-Milwaukie",Clackamas,5/9/2020,8,0,2020-05-27
