facility,county,first_reported,start_date,cases,deaths,report_date
Oregon Veterans' Home Lebanon,Linn,3/11/2020,38,7,2020-05-05
The Oaks at Sherwood Park,Marion,3/20/2020,14,1,2020-05-05
Regency Park,Washington,3/21/2020,16,1,2020-05-05
Astor House Senior Living,Yamhill,3/22/2020,15,7,2020-05-05
Healthcare at Foster Creek,Multnomah,3/24/2020,117,28,2020-05-05
Oregon Veterans' Home The Dalles,Wasco,3/26/2020,3,0,2020-05-05
Raleigh Hills Senior Care,Washington,3/27/2020,1,1,2020-05-05
Corvallis Manor,Benton,3/27/2020,15,3,2020-05-05
Salem Transitional Care,Marion,3/27/2020,26,3,2020-05-05
Shelter at Orenco Station,Washington,3/30/2020,4,0,2020-05-05
Laurelhurst Village,Multnomah,3/30/2020,48,4,2020-05-05
Marquis Marian Estates,Marion,3/30/2020,16,1,2020-05-05
Avamere at Bethany,Washington,4/1/2020,9,0,2020-05-05
Village Health Care,Multnomah,4/1/2020,37,3,2020-05-05
Bonaventure,Washington,4/1/2020,1,1,2020-05-05
Four Seasons Memory Care,Marion,4/2/2020,4,1,2020-05-05
Jason Lee Manor Apartments,Marion,4/10/2020,2,1,2020-05-05
Avamere Court at Keizer,Marion,4/11/2020,3,1,2020-05-05
Powell Valley Memory Care,Multnomah,4/13/2020,9,1,2020-05-05
Country Meadows Village,Marion,4/13/2020,6,1,2020-05-05
Cornerstone Care Options,Multnomah,4/16/2020,16,0,2020-05-05
The Grove Assisted Living,Washington,4/17/2020,3,1,2020-05-05
Countryside Living of Canby,Clackamas,4/19/2020,12,1,2020-05-05
St. Andrews Memory Care,Multnomah,4/21/2020,3,0,2020-05-05
Cherrywood Village,Multnomah,4/23/2020,5,1,2020-05-05
