facility,county,first_reported,start_date,cases,deaths,report_date
Oregon Veterans' Home Lebanon,Linn,3/11/2020,38,7,2020-04-28
The Oaks at Sherwood Park,Marion,3/20/2020,14,1,2020-04-28
Regency Park,Washington,3/21/2020,16,1,2020-04-28
Astor House Senior Living,Yamhill,3/22/2020,14,6,2020-04-28
Healthcare at Foster Creek,Multnomah,3/24/2020,101,21,2020-04-28
Oregon Veterans' Home The Dalles,Wasco,3/26/2020,3,0,2020-04-28
Raleigh Hills Senior Care,Washington,3/27/2020,1,1,2020-04-28
Corvallis Manor,Benton,3/27/2020,12,3,2020-04-28
Salem Transitional Care,Marion,3/27/2020,9,1,2020-04-28
Shelter at Orenco Station,Washington,3/30/2020,4,0,2020-04-28
Laurelhurst Village,Multnomah,3/30/2020,48,4,2020-04-28
Marquis Marian Estates,Marion,3/30/2020,16,1,2020-04-28
Avamere at Bethany,Washington,4/1/2020,9,0,2020-04-28
Village Health Care,Multnomah,4/1/2020,36,2,2020-04-28
Bonaventure,Washington,4/1/2020,1,1,2020-04-28
Four Seasons Memory Care,Marion,4/2/2020,4,1,2020-04-28
Jason Lee Manor Apartments,Marion,4/10/2020,2,1,2020-04-28
Avamere court at Keizer,Marion,4/11/2020,3,1,2020-04-28
Powell Valley Memory Care,Multnomah,4/13/2020,9,1,2020-04-28
Country Meadows Village,Marion,4/13/2020,6,1,2020-04-28
Cornerstone Care Options,Multnomah,4/16/2020,16,0,2020-04-28
The Grove Assisted Living,Washington,4/17/2020,3,1,2020-04-28
Countryside Living of Canby,Clackamas,4/19/2020,11,1,2020-04-28
St. Andrews Memory Care,Multnomah,4/21/2020,3,0,2020-04-28
Cherrywood Village,Multnomah,4/23/2020,4,1,2020-04-28
