facility,county,first_reported,cases,deaths,report_date
Salem Transitional Care,Marion,3/27/2020,26,3,2020-06-03
Avamere at Bethany,Washington,4/1/2020,12,1,2020-06-03
Avamere Court at Keizer,Marion,4/11/2020,6,1,2020-06-03
Country Meadows Village,Marion,4/13/2020,7,1,2020-06-03
Countryside Living of Canby,Clackamas,4/19/2020,13,2,2020-06-03
Providence Benedictine,Marion,4/27/2020,6,0,2020-06-03
Prestige Senior Living Orchard Heights,Polk,4/30/2020,56,10,2020-06-03
Prestige Senior Living Riverwood,Washington,5/2/2020,11,1,2020-06-03
Jennings - McCall Center,Washington,5/4/2020,7,1,2020-06-03
Parkview Christian Assisted Living,Multnomah,5/4/2020,9,0,2020-06-03
Odd Fellows Home,Multnomah,5/4/20202,9,1,2020-06-03
"Prestige Post Acute Care and 
Rehabilitation-Milwaukie",Clackamas,5/9/2020,11,1,2020-06-03
Avamere Park Place,Washington,5/26/2020,6,0,2020-06-03
