facility,county,first_reported,start_date,cases,deaths,report_date
Healthcare at Foster Creek,Multnomah,3/24/2020,119,29,2020-05-19
Corvallis Manor,Benton,3/27/2020,19,3,2020-05-19
Salem Transitional Care,Marion,3/27/2020,25,3,2020-05-19
Avamere at Bethany,Washington,4/1/2020,9,0,2020-05-19
Village Health Care,Multnomah,4/1/2020,39,5,2020-05-19
Avamere Court at Keizer,Marion,4/11/2020,6,1,2020-05-19
Powell Valley Memory Care,Multnomah,4/13/2020,9,1,2020-05-19
Country Meadows Village,Marion,4/13/2020,7,1,2020-05-19
Cornerstone Care Options,Multnomah,4/16/2020,16,0,2020-05-19
Countryside Living of Canby,Clackamas,4/19/2020,13,2,2020-05-19
Cherrywood Village,Multnomah,4/23/2020,6,1,2020-05-19
"Prestige Senior Living Orchard 
Heights",Polk,4/30/2020,52,7,2020-05-19
Prestige Senior Living Riverwood,Washington,5/2/2020,5,1,2020-05-19
Jennings - McCall Center,Washington,5/4/2020,6,0,2020-05-19
"Parkview Christian Assisted 
Living",Multnomah,5/4/2020,6,0,2020-05-19
Odd Fellows Home,Multnomah,5/4/2020,9,1,2020-05-19
"Prestige Post-Acute Care and 
Rehabilitation-Milwaukie",Clackamas,5/9/2020,7,0,2020-05-19
