facility,county,first_reported,start_date,cases,deaths,report_date
Oregon Veterans' Home Lebanon,Linn,3/11/2020,34,4,2020-04-14
The Oaks at Sherwood Park,Marion,3/20/2020,14,1,2020-04-14
Regency Park,Washington,3/21/2020,16,1,2020-04-14
Astor House Senior Living,Yamhill,3/22/2020,12,6,2020-04-14
Healthcare at Foster Creek,Multnomah,3/24/2020,50,9,2020-04-14
Oregon Veterans' Home The Dalles,Wasco,3/26/2020,3,0,2020-04-14
Raleigh Hills Senior Care,Washington,3/27/2020,1,1,2020-04-14
Corvallis Manor,Benton,3/27/2020,9,1,2020-04-14
Salem Transitional Care,Marion,3/27/2020,5,1,2020-04-14
Laurelhurst Village,Multnomah,3/30/2020,38,4,2020-04-14
Marian Estates,Marion,3/30/2020,16,1,2020-04-14
Avamere Bethany,Washington,4/1/2020,9,0,2020-04-14
Village Health Care,Multnomah,4/1/2020,10,0,2020-04-14
Bonaventure,Washington,4/1/2020,1,1,2020-04-14
Four Seasons Memory Care,Marion,4/2/2020,4,1,2020-04-14
Jason Lee Manor Apartments,Marion,4/10/2020,2,1,2020-04-14
