County,Cases1,Deaths2,Negatives3
Baker,133,3,2227
Benton,448,6,18207
Clackamas,3206,66,75784
Clatsop,246,0,6710
Columbia,270,1,8648
Coos,259,1,8913
Crook,112,2,3128
Curry,58,1,2366
Deschutes,1161,13,38302
Douglas,363,8,15429
Gilliam,11,0,360
Grant,11,0,1042
Harney,34,0,947
Hood River,279,1,5858
Jackson,1742,7,41524
Jefferson,605,10,5621
Josephine,269,3,14584
Klamath,421,3,11835
Lake,41,0,1060
Lane,2451,27,81338
Lincoln,518,13,9848
Linn,827,15,20821
Malheur,1943,38,6311
Marion,5963,108,60524
Morrow,546,7,2081
Multnomah,9401,165,176057
Polk,663,15,11955
Sherman,19,0,386
Tillamook,72,0,3621
Umatilla,3393,45,15472
Union,477,2,5166
Wallowa,46,2,1203
Wasco,349,16,5929
Washington,5885,78,112976
Wheeler,1,0,187
Yamhill,1005,15,21401
Total,43228,671,797821
