County,Cases1,Deaths2,Negatives3
Baker,248,3,2722
Benton,679,7,21494
Clackamas,5025,76,89050
Clatsop,321,0,7878
Columbia,405,2,9960
Coos,368,1,10585
Crook,183,6,3835
Curry,101,2,2669
Deschutes,1841,14,45781
Douglas,756,14,17927
Gilliam,21,0,423
Grant,101,1,1248
Harney,82,1,1119
Hood River,349,1,6583
Jackson,3240,19,48454
Jefferson,749,11,6509
Josephine,401,4,17032
Klamath,612,4,13118
Lake,85,0,1199
Lane,3672,37,92620
Lincoln,559,13,11536
Linn,1188,18,23985
Malheur,2265,39,7119
Marion,8025,127,71547
Morrow,602,7,2369
Multnomah,14060,209,206931
Polk,983,15,14523
Sherman,23,0,441
Tillamook,111,0,4111
Umatilla,4013,48,17368
Union,655,2,5933
Unknown,0,0,1
Wallowa,70,2,1412
Wasco,447,18,6773
Washington,8466,95,131754
Wheeler,1,0,207
Yamhill,1468,16,25358
Total,62175,812,931575
