County,Case Count,Deaths,Negatives
All,103755,1347,0
Benton,1223,9,0
Clackamas,9117,107,0
Clatsop,492,2,0
Columbia,752,9,0
Coos,658,6,0
Crook,397,6,0
Curry,251,2,0
Deschutes,3582,20,0
Douglas,1307,37,0
Gilliam,33,1,0
Grant,164,1,0
Harney,126,1,0
Hood River,719,9,0
Jackson,5350,60,0
Jefferson,1286,14,0
Josephine,1006,18,0
Klamath,1641,14,0
Lake,185,4,0
Lane,6247,81,0
Lincoln,807,16,0
Linn,2353,31,0
Malheur,2743,49,0
Marion,12610,195,0
Morrow,775,7,0
Multnomah,23344,365,0
Polk,1750,24,0
Sherman,30,0,0
Tillamook,258,0,0
Umatilla,5186,54,0
Union,947,13,0
Wallowa,76,3,0
Wasco,797,20,0
Washington,14725,134,0
Wheeler,12,0,0
Yamhill,2407,31,0
Total,103755,1347,0
