County,Positive,Deaths,Negative
Baker,0,0,31
Benton,25,3,573
Clackamas,142,3,2892
Clatsop,6,0,285
Columbia,14,0,383
Coos,1,0,347
Crook,1,0,112
Curry,3,0,99
Deschutes,55,0,1150
Douglas,20,0,565
Gilliam,0,0,16
Grant,1,0,31
Harney,0,0,45
Hood River,4,0,320
Jackson,47,0,2973
Jefferson,1,0,111
Josephine,19,1,676
Klamath,26,0,963
Lake,0,0,47
Lane,44,1,1560
Lincoln,4,0,272
Linn,53,4,1183
Malheur,4,0,154
Marion,294,10,2583
Morrow,5,0,46
Multnomah,430,22,7348
Polk,30,1,523
Sherman,1,0,14
Tillamook,5,0,166
Umatilla,17,0,405
Union,4,0,86
Wallowa,1,0,21
Wasco,10,0,348
Washington,364,7,4523
Wheeler,0,0,6
Yamhill,32,6,831
Total,1663,58,31688
