County,Total Cases1,Total deaths2,,,,
Baker,1035,15,,,,
Benton,3281,22,,,,
Clackamas,19043,235,,,,
Clatsop,1067,9,,,,
Columbia,1942,29,,,,
Coos,2188,37,,,,
Crook,1299,23,,,,
Curry,741,11,,,,
Deschutes,10083,82,,,,
Douglas,3941,83,,,,
Gilliam,81,1,,,,
Grant,552,7,,,,
Harney,435,10,,,,
Hood River,1222,33,,,,
Jackson,11614,147,,,,
Jefferson,2381,39,,,,
Josephine,3647,72,,,,
Klamath,4788,78,,,,
Lake,470,8,,,,
Lane,13985,166,,,,
Lincoln,1453,21,,,,
Linn,5707,81,,,,
Malheur,3624,63,,,,
Marion,23566,325,,,,
Morrow,1163,16,,,,
Multnomah,40519,614,,,,
Polk,4033,56,,,,
Sherman,70,1,,,,
Tillamook,667,4,,,,
Umatilla,8645,87,,,,
Union,1505,24,,,,
Wallowa,196,5,,,,
Wasco,1458,30,,,,
Washington,26898,249,,,,
Wheeler,35,1,,,,
Yamhill,4802,79,,,,
Total,208136,2763,,,,
