County,Total Cases1,Total deaths2
Baker,800,13
Benton,2646,18
Clackamas,14821,201
Clatsop,866,8
Columbia,1486,25
Coos,1928,30
Crook,836,19
Curry,575,9
Deschutes,6706,72
Douglas,2985,65
Gilliam,55,1
Grant,334,4
Harney,300,6
Hood River,1099,29
Jackson,9625,126
Jefferson,2036,32
Josephine,2954,62
Klamath,3233,57
Lake,409,7
Lane,11173,144
Lincoln,1261,20
Linn,3998,61
Malheur,3415,58
Marion,19713,298
Morrow,1068,15
Multnomah,34095,564
Polk,3343,51
Sherman,56,0
Tillamook,562,2
Umatilla,7917,83
Union,1402,23
Wallowa,155,5
Wasco,1258,28
Washington,22931,229
Wheeler,25,1
Yamhill,4019,74
Total,170085,2440
