County,Positive,Deaths,Negative
Baker,0,0,19
Benton,21,2,502
Clackamas,109,3,2243
Clatsop,5,0,226
Columbia,10,0,258
Coos,0,0,282
Crook,1,0,91
Curry,3,0,81
Deschutes,50,0,937
Douglas,12,0,433
Gilliam,0,0,9
Grant,1,0,30
Harney,0,0,43
Hood River,3,0,206
Jackson,44,0,2596
Jefferson,0,0,90
Josephine,16,0,509
Klamath,20,0,361
Lake,0,0,39
Lane,33,1,1044
Lincoln,4,0,193
Linn,49,4,1033
Malheur,2,0,116
Marion,235,9,2002
Morrow,5,0,35
Multnomah,302,13,5763
Polk,29,1,410
Sherman,1,0,7
Tillamook,4,0,123
Umatilla,11,0,289
Union,3,0,62
Wallowa,1,0,15
Wasco,7,0,218
Washington,311,6,3344
Wheeler,0,0,6
Yamhill,29,5,691
Total,1321,44,24306
