County,Cases1,Total deaths2,Negative tests3,,,
Baker,1,0,473,,,
Benton,82,5,6020,,,
Clackamas,699,24,21582,,,
Clatsop,49,0,2301,,,
Columbia,29,0,2588,,,
Coos,40,0,2594,,,
Crook,10,0,996,,,
Curry,7,0,657,,,
Deschutes,170,0,10234,,,
Douglas,38,0,4783,,,
Gilliam,0,0,89,,,
Grant,1,0,185,,,
Harney,1,0,382,,,
Hood River,88,0,2242,,,
Jackson,106,0,11522,,,
Jefferson,97,0,1871,,,
Josephine,31,1,3971,,,
Klamath,111,0,4869,,,
Lake,13,0,240,,,
Lane,139,3,21830,,,
Lincoln,310,2,4521,,,
Linn,140,9,6631,,,
Malheur,96,1,1327,,,
Marion,1475,41,16224,,,
Morrow,61,1,447,,,
Multnomah,2139,69,47772,,,
Polk,139,12,2777,,,
Sherman,1,0,140,,,
Tillamook,7,0,1181,,,
Umatilla,467,4,3347,,,
Union,322,1,1524,,,
Wallowa,8,0,414,,,
Wasco,63,1,2107,,,
Washington,1287,20,30322,,,
Wheeler,0,0,116,,,
Yamhill,114,8,5038,,,
Total,8341,202,223317,,,
