County,Cases1,Deaths2,Negatives3
Baker,182,3,2505
Benton,524,6,19897
Clackamas,3992,71,82129
Clatsop,289,0,7331
Columbia,315,2,9313
Coos,296,1,9739
Crook,141,5,3501
Curry,74,2,2526
Deschutes,1484,13,42062
Douglas,492,10,16514
Gilliam,17,0,392
Grant,53,0,1169
Harney,47,0,1064
Hood River,303,1,6177
Jackson,2380,8,44869
Jefferson,639,11,6083
Josephine,317,4,15955
Klamath,480,3,12402
Lake,49,0,1148
Lane,2893,32,86725
Lincoln,526,13,10256
Linn,1003,17,22543
Malheur,2086,38,6706
Marion,6878,118,66042
Morrow,580,7,2201
Multnomah,11348,185,191247
Polk,800,15,13199
Sherman,23,0,420
Tillamook,89,0,3876
Umatilla,3653,45,16333
Union,553,2,5556
Wallowa,64,2,1326
Wasco,381,17,6344
Washington,7014,88,122379
Wheeler,1,0,192
Yamhill,1189,15,23186
Total,51155,734,863522
