County,Cases1,Total deaths2
Baker,582,5
Benton,1817,14
Clackamas,11989,141
Clatsop,707,5
Columbia,1075,18
Coos,983,15
Crook,652,13
Curry,324,5
Deschutes,5171,40
Douglas,1759,44
Gilliam,53,1
Grant,217,1
Harney,180,6
Hood River,976,21
Jackson,7122,95
Jefferson,1734,25
Josephine,1826,36
Klamath,2524,46
Lake,248,5
Lane,8724,113
Lincoln,1027,17
Linn,3194,49
Malheur,3198,55
Marion,16668,247
Morrow,963,10
Multnomah,29040,464
Polk,2563,40
Sherman,47,0
Tillamook,369,2
Umatilla,6976,73
Union,1146,17
Wallowa,99,3
Wasco,1117,23
Washington,19216,179
Wheeler,20,1
Yamhill,3294,48
Total,137600,1877
