County,Positive,Deaths,Negative
Baker,0,0,68
Benton,29,5,1144
Clackamas,206,7,5009
Clatsop,6,0,454
Columbia,14,0,666
Coos,15,0,537
Crook,1,0,208
Curry,4,0,146
Deschutes,75,0,1834
Douglas,23,0,1005
Gilliam,0,0,21
Grant,1,0,50
Harney,1,0,54
Hood River,6,0,455
Jackson,49,0,4035
Jefferson,10,0,232
Josephine,20,1,1024
Klamath,37,0,1884
Lake,0,0,67
Lane,50,2,3242
Lincoln,5,0,489
Linn,82,7,1684
Malheur,7,0,241
Marion,474,17,4061
Morrow,6,0,83
Multnomah,696,42,11920
Polk,39,1,794
Sherman,1,0,25
Tillamook,6,0,288
Umatilla,45,0,638
Union,4,0,112
Wallowa,1,0,31
Wasco,13,1,564
Washington,481,11,7646
Wheeler,0,0,11
Yamhill,39,7,1304
Total,2446,101,52026
