County,Cases1,Total deaths2,Negative tests3
Baker,12,0,635
Benton,114,6,6718
Clackamas,987,27,27639
Clatsop,55,0,2764
Columbia,48,0,3274
Coos,53,0,3032
Crook,18,1,1200
Curry,9,0,789
Deschutes,268,0,12596
Douglas,64,0,5836
Gilliam,1,0,119
Grant,1,0,406
Harney,2,0,453
Hood River,105,0,2710
Jackson,179,0,14040
Jefferson,168,0,2311
Josephine,57,1,4979
Klamath,137,1,5568
Lake,24,0,322
Lane,305,3,28126
Lincoln,361,5,5111
Linn,181,10,7900
Malheur,373,2,2140
Marion,1859,53,20404
Morrow,145,1,670
Multnomah,2888,72,62752
Polk,177,12,3300
Sherman,5,0,188
Tillamook,16,0,1569
Umatilla,1013,7,5253
Union,369,2,1834
Wallowa,14,0,493
Wasco,117,1,2518
Washington,1847,21,39550
Wheeler,0,0,124
Yamhill,198,9,6679
Total,12170,234,284002
