County,Positive,Deaths,Negative
Baker,0,0,51
Benton,28,5,666
Clackamas,171,5,3538
Clatsop,6,0,360
Columbia,14,0,474
Coos,1,0,413
Crook,1,0,143
Curry,4,0,111
Deschutes,64,0,1394
Douglas,23,0,697
Gilliam,0,0,16
Grant,1,0,44
Harney,0,0,45
Hood River,4,0,361
Jackson,48,0,3484
Jefferson,1,0,131
Josephine,19,1,845
Klamath,31,0,1337
Lake,0,0,56
Lane,48,1,2080
Lincoln,5,0,356
Linn,61,6,1347
Malheur,5,0,190
Marion,371,14,2980
Morrow,5,0,60
Multnomah,520,28,8616
Polk,33,1,590
Sherman,1,0,18
Tillamook,6,0,208
Umatilla,27,0,497
Union,4,0,90
Wallowa,1,0,24
Wasco,10,0,425
Washington,408,8,5441
Wheeler,0,0,7
Yamhill,35,6,994
Total,1956,75,38089
