County,Cases1,Total deaths2,Negative tests3
Baker,90,2,1532
Benton,279,6,12096
Clackamas,2237,61,56699
Clatsop,113,0,5281
Columbia,150,1,6599
Coos,136,0,6385
Crook,60,1,2460
Curry,27,0,1689
Deschutes,760,12,27956
Douglas,206,3,12126
Gilliam,7,0,264
Grant,8,0,857
Harney,12,0,759
Hood River,241,0,4758
Jackson,1034,4,31655
Jefferson,511,8,4490
Josephine,183,2,11263
Klamath,272,2,9806
Lake,28,0,855
Lane,944,15,60022
Lincoln,472,13,8409
Linn,458,13,15566
Malheur,1512,23,4790
Marion,4427,89,45143
Morrow,485,6,1678
Multnomah,6779,130,133105
Polk,501,15,8399
Sherman,18,0,326
Tillamook,48,0,2904
Umatilla,2905,41,12651
Union,435,2,3416
Wallowa,28,1,927
Wasco,234,3,4701
Washington,4264,58,87235
Wheeler,0,0,159
Yamhill,735,14,16350
Total,30599,525,603311
