County,Total Cases1,Total deaths2,,,,
Baker,959,14,,,,
Benton,3127,20,,,,
Clackamas,17677,214,,,,
Clatsop,994,8,,,,
Columbia,1759,29,,,,
Coos,2089,35,,,,
Crook,1138,22,,,,
Curry,646,10,,,,
Deschutes,9180,74,,,,
Douglas,3298,71,,,,
Gilliam,63,1,,,,
Grant,523,6,,,,
Harney,348,8,,,,
Hood River,1196,31,,,,
Jackson,10953,140,,,,
Jefferson,2220,37,,,,
Josephine,3370,71,,,,
Klamath,4506,64,,,,
Lake,455,7,,,,
Lane,13128,149,,,,
Lincoln,1388,21,,,,
Linn,5017,68,,,,
Malheur,3530,63,,,,
Marion,22229,308,,,,
Morrow,1111,16,,,,
Multnomah,38714,593,,,,
Polk,3788,53,,,,
Sherman,58,1,,,,
Tillamook,652,3,,,,
Umatilla,8236,84,,,,
Union,1451,23,,,,
Wallowa,185,5,,,,
Wasco,1381,28,,,,
Washington,25787,233,,,,
Wheeler,32,1,,,,
Yamhill,4496,76,,,,
Total,195684,2587,,,,
