County,Cases1,Deaths2
Baker,980,15
Benton,3207,22
Clackamas,18464,223
Clatsop,1011,8
Columbia,1847,29
Coos,2147,37
Crook,1227,22
Curry,677,10
Deschutes,9734,79
Douglas,3648,78
Gilliam,71,1
Grant,538,6
Harney,399,9
Hood River,1207,32
Jackson,11314,145
Jefferson,2332,38
Josephine,3495,72
Klamath,4709,74
Lake,463,7
Lane,13619,155
Lincoln,1405,21
Linn,5410,77
Malheur,3577,63
Marion,23011,320
Morrow,1141,16
Multnomah,39726,607
Polk,3898,55
Sherman,64,1
Tillamook,659,4
Umatilla,8454,86
Union,1475,23
Wallowa,190,5
Wasco,1427,28
Washington,26450,239
Wheeler,34,1
Yamhill,4665,78
Total,202675,2686
