County,Cases1,Deaths2
Baker,962,14
Benton,3145,20
Clackamas,17802,215
Clatsop,1000,8
Columbia,1765,29
Coos,2104,35
Crook,1154,22
Curry,656,10
Deschutes,9271,77
Douglas,3340,71
Gilliam,63,1
Grant,527,6
Harney,355,8
Hood River,1195,31
Jackson,11030,141
Jefferson,2235,37
Josephine,3387,71
Klamath,4526,65
Lake,459,7
Lane,13210,149
Lincoln,1391,21
Linn,5090,70
Malheur,3536,63
Marion,22338,310
Morrow,1114,16
Multnomah,38862,596
Polk,3808,53
Sherman,58,1
Tillamook,656,3
Umatilla,8271,85
Union,1454,23
Wallowa,188,5
Wasco,1388,28
Washington,25882,233
Wheeler,32,1
Yamhill,4533,76
Total,196787,2601
