County,Cases1,Total deaths2,Negative tests3
Baker,77,2,1402
Benton,223,6,10971
Clackamas,2045,58,52996
Clatsop,97,0,4960
Columbia,134,1,6091
Coos,126,0,5661
Crook,57,1,2330
Curry,22,0,1426
Deschutes,700,11,25092
Douglas,180,3,10923
Gilliam,4,0,246
Grant,8,0,783
Harney,12,0,719
Hood River,238,0,4529
Jackson,882,3,25326
Jefferson,470,7,4287
Josephine,171,2,9409
Klamath,236,2,9155
Lake,30,0,754
Lane,775,6,55056
Lincoln,469,13,8004
Linn,399,13,14313
Malheur,1280,20,4403
Marion,4013,82,41618
Morrow,454,3,1548
Multnomah,6224,124,123592
Polk,445,15,7620
Sherman,18,0,308
Tillamook,41,0,2698
Umatilla,2767,39,11929
Union,423,2,3019
Wallowa,23,1,858
Wasco,219,3,4410
Washington,3932,49,80670
Wheeler,0,0,155
Yamhill,662,14,14990
Total,27856,480,552251
