County,Positive,Deaths,Negative
Baker,0,0,56
Benton,27,5,716
Clackamas,191,6,3983
Clatsop,6,0,394
Columbia,14,0,526
Coos,4,0,458
Crook,1,0,167
Curry,4,0,124
Deschutes,70,0,1479
Douglas,24,0,774
Gilliam,0,0,17
Grant,1,0,47
Harney,0,0,46
Hood River,5,0,384
Jackson,48,0,3693
Jefferson,2,0,162
Josephine,19,1,901
Klamath,36,0,1381
Lake,0,0,61
Lane,48,1,2467
Lincoln,5,0,397
Linn,67,6,1430
Malheur,6,0,201
Marion,397,14,3182
Morrow,5,0,66
Multnomah,582,33,9570
Polk,33,1,633
Sherman,1,0,19
Tillamook,6,0,228
Umatilla,30,0,533
Union,4,0,103
Wallowa,1,0,25
Wasco,12,0,456
Washington,443,10,6075
Wheeler,0,0,8
Yamhill,35,6,1087
Total,2127,83,41849
