County,Total Cases1,Total deaths2,,,,
Baker,858,14,,,,
Benton,2732,18,,,,
Clackamas,15386,204,,,,
Clatsop,895,8,,,,
Columbia,1545,26,,,,
Coos,1975,31,,,,
Crook,880,19,,,,
Curry,595,9,,,,
Deschutes,7129,72,,,,
Douglas,3047,65,,,,
Gilliam,56,1,,,,
Grant,412,4,,,,
Harney,306,6,,,,
Hood River,1125,29,,,,
Jackson,9923,127,,,,
Jefferson,2070,32,,,,
Josephine,3063,62,,,,
Klamath,3490,59,,,,
Lake,413,7,,,,
Lane,11591,144,,,,
Lincoln,1302,20,,,,
Linn,4160,63,,,,
Malheur,3428,58,,,,
Marion,20195,299,,,,
Morrow,1079,15,,,,
Multnomah,34937,568,,,,
Polk,3442,52,,,,
Sherman,57,0,,,,
Tillamook,581,3,,,,
Umatilla,7968,83,,,,
Union,1416,24,,,,
Wallowa,157,5,,,,
Wasco,1291,28,,,,
Washington,23491,229,,,,
Wheeler,25,1,,,,
Yamhill,4101,75,,,,
Total,175121,2460,,,,
