County,Cases1,Total deaths2,Negative tests3
Baker,94,2,1758
Benton,310,6,13189
Clackamas,2408,61,61008
Clatsop,212,0,5534
Columbia,171,1,6956
Coos,157,0,6873
Crook,62,1,2563
Curry,31,0,1809
Deschutes,840,12,29685
Douglas,232,4,12743
Gilliam,8,0,278
Grant,10,0,893
Harney,12,0,812
Hood River,251,0,4973
Jackson,1148,5,33360
Jefferson,534,8,4768
Josephine,198,2,11851
Klamath,280,2,10153
Lake,33,0,880
Lane,1210,17,64023
Lincoln,482,13,8645
Linn,522,13,16401
Malheur,1627,23,5210
Marion,4683,94,47641
Morrow,499,6,1742
Multnomah,7184,138,141456
Polk,530,15,8935
Sherman,18,0,337
Tillamook,53,0,3043
Umatilla,2976,41,13054
Union,446,2,3584
Wallowa,31,1,984
Wasco,292,3,5064
Washington,4519,60,91221
Wheeler,0,0,163
Yamhill,757,13,17081
Total,32820,547,638670
