County,Total Cases1,Total deaths2
Baker,962,15
Benton,3161,21
Clackamas,17986,218
Clatsop,1003,8
Columbia,1791,29
Coos,2128,35
Crook,1178,22
Curry,660,10
Deschutes,9433,78
Douglas,3427,73
Gilliam,63,1
Grant,528,6
Harney,363,8
Hood River,1199,31
Jackson,11102,141
Jefferson,2266,37
Josephine,3425,71
Klamath,4609,70
Lake,461,7
Lane,13340,150
Lincoln,1395,21
Linn,5226,73
Malheur,3544,63
Marion,22553,312
Morrow,1122,16
Multnomah,39137,596
Polk,3836,53
Sherman,58,1
Tillamook,659,3
Umatilla,8328,86
Union,1455,23
Wallowa,187,5
Wasco,1406,28
Washington,26089,234
Wheeler,33,1
Yamhill,4576,76
Total,198689,2622
