County,Cases1,Deaths2,Negatives3
Baker,286,4,2835
Benton,818,7,22363
Clackamas,6548,80,92150
Clatsop,368,0,8194
Columbia,526,3,10317
Coos,443,3,10959
Crook,237,6,3994
Curry,143,2,2738
Deschutes,2480,15,47682
Douglas,967,18,18584
Gilliam,23,0,450
Grant,137,1,1514
Harney,102,1,1347
Hood River,414,1,6957
Jackson,3951,35,49916
Jefferson,862,11,6991
Josephine,567,4,17656
Klamath,910,4,13766
Lake,138,1,1415
Lane,4441,43,95274
Lincoln,646,15,11825
Linn,1469,23,24695
Malheur,2418,44,8162
Marion,9514,146,74190
Morrow,664,7,2521
Multnomah,17825,244,213638
Polk,1300,19,15213
Sherman,23,0,457
Tillamook,139,0,4217
Umatilla,4402,49,17928
Union,797,8,6180
Unknown,0,0,5
Wallowa,71,3,1558
Wasco,538,19,7015
Washington,10714,103,135790
Wheeler,5,0,515
Yamhill,1768,17,26418
Total,76654,936,965429
