County,Cases1,Total deaths2,Negative tests3
Baker,114,3,2176
Benton,436,6,17873
Clackamas,3081,65,73862
Clatsop,241,0,6636
Columbia,256,1,8428
Coos,236,0,8614
Crook,103,2,3033
Curry,57,1,2313
Deschutes,1110,13,37522
Douglas,345,5,15127
Gilliam,11,0,358
Grant,11,0,1019
Harney,23,0,926
Hood River,277,1,5790
Jackson,1650,6,40651
Jefferson,603,9,5540
Josephine,263,3,14322
Klamath,408,3,11688
Lake,34,0,1051
Lane,2326,27,79928
Lincoln,515,13,9725
Linn,798,15,20339
Malheur,1909,38,6215
Marion,5733,108,58403
Morrow,543,6,2026
Multnomah,9055,160,172097
Polk,648,15,11516
Sherman,18,0,384
Tillamook,70,0,3560
Umatilla,3344,44,15223
Union,465,2,5073
Wallowa,42,2,1192
Wasco,347,15,5834
Washington,5681,75,109971
Wheeler,1,0,183
Yamhill,985,15,20805
Total,41739,653,779403
