County,Positive,Deaths,Negative
Baker,0,0,63
Benton,28,5,777
Clackamas,201,6,4291
Clatsop,6,0,411
Columbia,14,0,575
Coos,8,0,469
Crook,1,0,173
Curry,4,0,133
Deschutes,71,0,1597
Douglas,23,0,834
Gilliam,0,0,18
Grant,1,0,47
Harney,0,0,47
Hood River,5,0,407
Jackson,49,0,3781
Jefferson,5,0,184
Josephine,19,1,936
Klamath,36,0,1615
Lake,0,0,65
Lane,50,2,2774
Lincoln,5,0,421
Linn,71,7,1521
Malheur,6,0,222
Marion,432,14,3405
Morrow,5,0,76
Multnomah,623,35,10359
Polk,37,1,687
Sherman,1,0,23
Tillamook,6,0,249
Umatilla,35,0,578
Union,4,0,109
Wallowa,1,0,25
Wasco,12,0,514
Washington,459,10,6569
Wheeler,0,0,10
Yamhill,35,6,1159
Total,2253,87,45124
