County,Positive,Deaths,Negative
Baker,0,0,25
Benton,23,2,555
Clackamas,125,3,2565
Clatsop,6,0,258
Columbia,10,0,322
Coos,1,0,319
Crook,1,0,103
Curry,3,0,94
Deschutes,54,0,1066
Douglas,14,0,488
Gilliam,0,0,14
Grant,1,0,30
Harney,0,0,45
Hood River,4,0,266
Jackson,46,0,2829
Jefferson,0,0,98
Josephine,18,1,614
Klamath,25,0,724
Lake,0,0,46
Lane,37,1,1226
Lincoln,4,0,236
Linn,52,4,1120
Malheur,4,0,138
Marion,276,9,2390
Morrow,5,0,38
Multnomah,374,19,6529
Polk,30,1,481
Sherman,1,0,11
Tillamook,4,0,144
Umatilla,16,0,337
Union,4,0,81
Wallowa,1,0,21
Wasco,10,0,284
Washington,348,6,3990
Wheeler,0,0,6
Yamhill,30,6,738
Total,1527,52,28231
