County,Cases1,Total deaths2,Negative tests3
Baker,257,3,2738
Benton,702,7,21604
Clackamas,5146,76,89661
Clatsop,326,0,7927
Columbia,415,3,10026
Coos,374,1,10629
Crook,184,6,3855
Curry,105,2,2682
Deschutes,1874,14,46120
Douglas,793,15,18042
Gilliam,21,0,428
Grant,109,1,1332
Harney,86,1,1122
Hood River,355,1,6651
Jackson,3302,23,48700
Jefferson,757,11,6537
Josephine,417,4,17076
Klamath,632,4,13149
Lake,92,0,1208
Lane,3758,37,93100
Lincoln,562,13,11559
Linn,1233,18,24082
Malheur,2292,39,7192
Marion,8145,127,72029
Morrow,612,7,2388
Multnomah,14472,209,208392
Polk,1025,15,14642
Sherman,23,0,443
Tillamook,111,0,4132
Umatilla,4052,48,17471
Union,686,2,5994
Wallowa,70,2,1419
Wasco,461,18,6802
Washington,8687,96,132688
Wheeler,2,0,210
Yamhill,1530,16,25549
Total,63668,819,937579
