County,Cases1,Total deaths2,Negative tests3
Baker,70,2,1359
Benton,213,6,10458
Clackamas,1939,56,50712
Clatsop,95,0,4772
Columbia,130,1,5817
Coos,115,0,5373
Crook,54,1,2259
Curry,20,0,1294
Deschutes,690,11,24019
Douglas,177,3,10210
Gilliam,4,0,244
Grant,8,0,703
Harney,12,0,689
Hood River,233,0,4413
Jackson,805,2,23912
Jefferson,457,7,4178
Josephine,154,2,8858
Klamath,235,2,8816
Lake,30,0,694
Lane,702,6,52725
Lincoln,465,13,7665
Linn,385,12,13592
Malheur,1170,19,4139
Marion,3794,80,39608
Morrow,437,3,1496
Multnomah,5975,118,117742
Polk,419,14,7170
Sherman,17,0,303
Tillamook,38,0,2609
Umatilla,2674,37,11600
Union,419,2,2937
Wallowa,22,1,828
Wasco,206,3,4293
Washington,3760,43,76792
Wheeler,0,0,152
Yamhill,630,14,14360
Total,26554,458,526791
