County,Cases1,Deaths2,Negatives3
Baker,240,3,2715
Benton,664,7,21157
Clackamas,4945,76,88540
Clatsop,313,0,7796
Columbia,385,2,9898
Coos,360,1,10502
Crook,180,6,3779
Curry,96,2,2658
Deschutes,1781,14,45272
Douglas,718,13,17741
Gilliam,21,0,420
Grant,74,1,1241
Harney,78,0,1114
Hood River,346,1,6530
Jackson,3156,19,48078
Jefferson,738,11,6446
Josephine,383,4,16923
Klamath,573,3,12973
Lake,82,0,1195
Lane,3582,37,91967
Lincoln,552,13,11474
Linn,1162,18,23729
Malheur,2242,39,7077
Marion,7914,127,70984
Morrow,598,7,2341
Multnomah,13725,208,205601
Polk,961,15,14405
Sherman,23,0,438
Tillamook,109,0,4085
Umatilla,3969,48,17146
Union,638,2,5893
Wallowa,70,2,1400
Wasco,434,18,6721
Washington,8313,95,130905
Wheeler,1,0,203
Yamhill,1447,16,25071
Total,60873,808,924419
