County,Cases1,Total deaths2,Negative tests3,,,
Baker,1,0,466,,,
Benton,82,5,5996,,,
Clackamas,681,24,21297,,,
Clatsop,48,0,2255,,,
Columbia,28,0,2552,,,
Coos,40,0,2521,,,
Crook,10,0,971,,,
Curry,7,0,650,,,
Deschutes,162,0,10044,,,
Douglas,38,0,4713,,,
Gilliam,0,0,87,,,
Grant,1,0,182,,,
Harney,1,0,380,,,
Hood River,88,0,2225,,,
Jackson,97,0,11324,,,
Jefferson,94,0,1843,,,
Josephine,30,1,3908,,,
Klamath,111,0,4670,,,
Lake,13,0,233,,,
Lane,136,3,21436,,,
Lincoln,307,2,4485,,,
Linn,140,9,6597,,,
Malheur,85,1,1300,,,
Marion,1432,41,15968,,,
Morrow,53,1,419,,,
Multnomah,2087,69,46937,,,
Polk,136,12,2753,,,
Sherman,1,0,140,,,
Tillamook,7,0,1169,,,
Umatilla,419,4,3231,,,
Union,320,1,1463,,,
Wallowa,8,0,409,,,
Wasco,60,1,2076,,,
Washington,1258,20,29821,,,
Wheeler,0,0,116,,,
Yamhill,113,8,4892,,,
Total,8094,202,219529,,,
