County,Cases1,Deaths2,Negatives3
Baker,17,0,767
Benton,132,6,7646
Clackamas,1227,34,33648
Clatsop,68,0,3213
Columbia,67,0,3912
Coos,76,0,3526
Crook,30,1,1408
Curry,13,0,918
Deschutes,419,3,15048
Douglas,111,1,7034
Gilliam,3,0,142
Grant,2,0,470
Harney,5,0,510
Hood River,144,0,3277
Jackson,269,0,16604
Jefferson,244,0,2735
Josephine,79,1,5937
Klamath,177,1,6437
Lake,31,0,404
Lane,435,3,36738
Lincoln,377,8,6366
Linn,215,10,9700
Malheur,557,7,2734
Marion,2333,64,26052
Morrow,222,1,982
Multnomah,3813,78,77411
Polk,231,12,4112
Sherman,8,0,228
Tillamook,24,0,1834
Umatilla,1563,15,7373
Union,385,2,2226
Wallowa,18,1,577
Wasco,139,3,2964
Washington,2406,22,49113
Wheeler,0,0,132
Yamhill,264,9,8285
Total,16104,282,350463
