County,Cases1,Total deaths2,Negative tests3
Baker,38,0,1066
Benton,169,6,8723
Clackamas,1538,40,40686
Clatsop,85,0,3834
Columbia,96,0,4611
Coos,91,0,4131
Crook,47,1,1799
Curry,15,0,1072
Deschutes,604,10,19219
Douglas,151,1,8432
Gilliam,4,0,199
Grant,4,0,549
Harney,10,0,585
Hood River,191,0,3839
Jackson,465,2,19913
Jefferson,360,4,3440
Josephine,115,2,7103
Klamath,201,2,7521
Lake,32,0,535
Lane,585,3,43952
Lincoln,416,9,6931
Linn,281,10,11210
Malheur,783,14,3448
Marion,2911,70,32122
Morrow,357,3,1228
Multnomah,4917,95,94631
Polk,313,12,5389
Sherman,16,0,270
Tillamook,34,0,2143
Umatilla,2290,28,9523
Union,394,2,2530
Wallowa,19,1,713
Wasco,192,3,3729
Washington,3088,25,60176
Wheeler,0,0,139
Yamhill,460,13,10373
Total,21272,356,425765
