County,Positive,Deaths,Negative
Baker,0,0,56
Benton,27,5,675
Clackamas,173,5,3673
Clatsop,6,0,368
Columbia,14,0,491
Coos,2,0,437
Crook,1,0,149
Curry,4,0,114
Deschutes,64,0,1402
Douglas,23,0,717
Gilliam,0,0,16
Grant,1,0,45
Harney,0,0,45
Hood River,4,0,372
Jackson,48,0,3533
Jefferson,1,0,138
Josephine,19,1,865
Klamath,33,0,1339
Lake,0,0,59
Lane,48,1,2153
Lincoln,5,0,361
Linn,62,6,1360
Malheur,5,0,197
Marion,381,14,3056
Morrow,5,0,62
Multnomah,542,29,8885
Polk,33,1,610
Sherman,1,0,18
Tillamook,6,0,215
Umatilla,29,0,513
Union,4,0,100
Wallowa,1,0,24
Wasco,11,0,433
Washington,415,10,5624
Wheeler,0,0,8
Yamhill,34,6,1013
Total,2002,78,39126
