County,Cases1,Deaths2,Negatives3
Baker,1,0,143
Benton,54,5,3264
Clackamas,284,9,9157
Clatsop,38,0,1124
Columbia,16,0,1211
Coos,30,0,1110
Crook,1,0,409
Curry,5,0,262
Deschutes,107,0,3799
Douglas,25,0,1944
Gilliam,0,0,47
Grant,1,0,92
Harney,1,0,127
Hood River,14,0,868
Jackson,52,0,5478
Jefferson,24,0,636
Josephine,25,1,1653
Klamath,41,0,2934
Lake,0,0,103
Lane,65,2,7692
Lincoln,8,0,1163
Linn,109,9,3199
Malheur,21,0,491
Marion,855,24,7493
Morrow,12,0,136
Multnomah,1005,55,20850
Polk,93,9,1485
Sherman,1,0,64
Tillamook,6,0,543
Umatilla,101,3,1265
Union,6,0,249
Wallowa,1,0,83
Wasco,18,1,948
Washington,644,15,13589
Wheeler,0,0,73
Yamhill,62,7,2294
Total,3726,140,95978
