County,Cases1,Deaths2,Negatives3
Baker,144,3,2346
Benton,466,6,19137
Clackamas,3478,67,78384
Clatsop,260,0,6965
Columbia,281,2,8926
Coos,272,1,9319
Crook,118,4,3275
Curry,66,2,2439
Deschutes,1296,13,39932
Douglas,390,8,15912
Gilliam,17,0,373
Grant,14,0,1070
Harney,39,0,980
Hood River,290,1,6000
Jackson,1928,7,42970
Jefferson,612,10,5850
Josephine,277,3,14975
Klamath,437,3,12045
Lake,48,0,1108
Lane,2607,28,83842
Lincoln,522,13,10051
Linn,902,17,21620
Malheur,1992,38,6475
Marion,6311,112,63100
Morrow,559,7,2122
Multnomah,10090,173,182420
Polk,706,15,12510
Sherman,21,0,395
Tillamook,78,0,3738
Umatilla,3493,45,15818
Union,495,2,5322
Wallowa,56,2,1245
Wasco,367,16,6094
Washington,6298,79,116904
Wheeler,1,0,187
Yamhill,1047,15,22073
Total,45978,692,825922
