County,Cases1,Deaths2,Negatives3
Baker,198,3,2573
Benton,568,6,20265
Clackamas,4266,72,84164
Clatsop,294,0,7525
Columbia,332,2,9496
Coos,314,1,9995
Crook,156,5,3568
Curry,81,2,2576
Deschutes,1559,14,42815
Douglas,556,10,16812
Gilliam,17,0,397
Grant,65,0,1212
Harney,52,0,1067
Hood River,309,1,6263
Jackson,2605,8,45979
Jefferson,660,11,6158
Josephine,326,4,16264
Klamath,498,3,12558
Lake,54,0,1164
Lane,3056,33,88571
Lincoln,530,13,10334
Linn,1039,17,22893
Malheur,2108,38,6852
Marion,7146,122,67490
Morrow,585,7,2255
Multnomah,12139,189,195664
Polk,843,15,13572
Sherman,23,0,425
Tillamook,91,0,3943
Umatilla,3748,45,16615
Union,564,2,5685
Wallowa,67,2,1359
Wasco,390,17,6443
Washington,7376,89,125106
Wheeler,1,0,196
Yamhill,1263,15,23743
Total,53879,746,881998
