County,Number of cases,Deaths,Negative test results
Baker,0,0,2
Benton,4,0,121
Clackamas,14,0,431
Clatsop,0,0,43
Columbia,0,0,49
Coos,0,0,44
Crook,0,0,5
Curry,0,0,12
Deschutes,10,0,91
Douglas,1,0,48
Gilliam,0,0,1
Grant,1,0,0
Harney,0,0,1
Hood River,1,0,38
Jackson,2,0,207
Jefferson,0,0,6
Josephine,1,0,29
Klamath,1,0,45
Lake,0,0,0
Lane,4,1,171
Lincoln,0,0,18
Linn,20,1,315
Malheur,0,0,13
Marion,30,1,295
Morrow,0,0,4
Multnomah,21,1,796
Polk,3,0,71
Sherman,0,0,1
Tillamook,0,0,9
Umatilla,2,0,34
Union,1,0,14
Wallowa,0,0,3
Wasco,0,0,19
Washington,69,1,612
Wheeler,0,0,1
Yamhill,6,0,100
Total,191,5,"3,649"
