County,Cases1,Total deaths2,Negatives
Baker,398,4,0
Benton,1215,9,0
Clackamas,9016,107,0
Clatsop,489,2,0
Columbia,740,9,0
Coos,653,6,0
Crook,393,6,0
Curry,248,2,0
Deschutes,3545,19,0
Douglas,1280,36,0
Gilliam,33,1,0
Grant,164,1,0
Harney,123,1,0
Hood River,709,8,0
Jackson,5309,58,0
Jefferson,1259,14,0
Josephine,972,18,0
Klamath,1641,14,0
Lake,185,4,0
Lane,6223,80,0
Lincoln,803,16,0
Linn,2324,31,0
Malheur,2739,49,0
Marion,12543,195,0
Morrow,774,7,0
Multnomah,23138,365,0
Polk,1739,24,0
Sherman,30,0,0
Tillamook,254,0,0
Umatilla,5164,54,0
Union,946,13,0
Wallowa,76,3,0
Wasco,786,20,0
Washington,14616,134,0
Wheeler,12,0,0
Yamhill,2391,31,0
Total,102930,1341,0
