County,Cases1,Total deaths2,Negative tests3
Baker,257,3,2762
Benton,709,7,21746
Clackamas,5353,76,90277
Clatsop,333,0,7985
Columbia,422,3,10104
Coos,383,1,10731
Crook,190,6,3893
Curry,105,2,2706
Deschutes,1911,14,46678
Douglas,804,15,18130
Gilliam,21,0,430
Grant,122,1,1372
Harney,86,1,1127
Hood River,361,1,6681
Jackson,3356,23,49176
Jefferson,765,11,6563
Josephine,431,4,17204
Klamath,685,4,13392
Lake,98,0,1212
Lane,3820,37,93714
Lincoln,563,13,11599
Linn,1260,18,24230
Malheur,2308,39,7235
Marion,8321,127,72521
Morrow,619,7,2405
Multnomah,14988,210,209670
Polk,1051,15,14771
Sherman,23,0,445
Tillamook,111,0,4150
Umatilla,4099,48,17647
Union,691,2,6007
Wallowa,70,2,1435
Wasco,472,18,6853
Washington,8815,96,133636
Wheeler,2,0,210
Yamhill,1565,16,25747
Total,65170,820,944444
" 
",,,
