County,Total Cases1,Total deaths2
Baker,612,7
Benton,2181,16
Clackamas,13060,169
Clatsop,761,6
Columbia,1177,21
Coos,1281,17
Crook,747,18
Curry,371,6
Deschutes,5738,56
Douglas,2170,51
Gilliam,53,1
Grant,220,1
Harney,252,6
Hood River,1047,29
Jackson,7911,106
Jefferson,1888,27
Josephine,2196,47
Klamath,2722,54
Lake,355,6
Lane,9861,121
Lincoln,1116,18
Linn,3499,54
Malheur,3302,58
Marion,17981,276
Morrow,1016,13
Multnomah,31204,512
Polk,2914,42
Sherman,52,0
Tillamook,393,2
Umatilla,7461,79
Union,1249,19
Wallowa,134,4
Wasco,1212,25
Washington,20657,207
Wheeler,22,1
Yamhill,3649,62
Total,150464,2137
