County,Cases1,Total deaths2,Negative tests3
Baker,90,2,1464
Benton,244,6,11618
Clackamas,2151,59,55254
Clatsop,102,0,5109
Columbia,143,1,6392
Coos,131,0,6094
Crook,59,1,2388
Curry,26,0,1518
Deschutes,723,12,26778
Douglas,188,3,11734
Gilliam,5,0,257
Grant,8,0,822
Harney,12,0,742
Hood River,238,0,4660
Jackson,967,3,30127
Jefferson,487,8,4404
Josephine,178,2,10860
Klamath,242,2,9487
Lake,29,0,803
Lane,846,13,57417
Lincoln,473,13,8206
Linn,431,13,14994
Malheur,1407,22,4632
Marion,4248,87,43598
Morrow,471,4,1602
Multnomah,6556,127,129827
Polk,481,15,8013
Sherman,18,0,321
Tillamook,45,0,2801
Umatilla,2844,41,12275
Union,431,2,3237
Wallowa,23,1,888
Wasco,227,3,4584
Washington,4107,55,84413
Wheeler,0,0,157
Yamhill,706,14,15807
Total,29337,509,583283
