County,Cases1,Deaths2,Negatives3
Baker,22,0,833
Benton,138,6,7841
Clackamas,1296,36,36087
Clatsop,71,0,3377
Columbia,70,0,4103
Coos,80,0,3783
Crook,35,1,1593
Curry,14,0,958
Deschutes,478,5,16219
Douglas,119,1,7430
Gilliam,3,0,147
Grant,2,0,491
Harney,8,0,526
Hood River,151,0,3417
Jackson,312,0,17481
Jefferson,276,3,2912
Josephine,92,1,6179
Klamath,182,1,6652
Lake,31,0,442
Lane,461,3,38364
Lincoln,381,8,6426
Linn,229,10,9934
Malheur,599,9,2849
Marion,2474,67,27501
Morrow,256,1,1030
Multnomah,4115,84,81891
Polk,265,12,4472
Sherman,8,0,235
Tillamook,24,0,1902
Umatilla,1796,17,7949
Union,385,2,2282
Wallowa,18,1,609
Wasco,147,3,3081
Washington,2583,22,52382
Wheeler,0,0,133
Yamhill,295,10,8729
Total,17416,303,370240
