County,Total Cases1,Total deaths2
Baker,778,12
Benton,2603,18
Clackamas,14431,197
Clatsop,847,7
Columbia,1413,24
Coos,1900,29
Crook,821,18
Curry,560,9
Deschutes,6426,70
Douglas,2918,60
Gilliam,54,1
Grant,289,4
Harney,294,6
Hood River,1085,29
Jackson,9357,121
Jefferson,2019,31
Josephine,2841,60
Klamath,3073,57
Lake,406,7
Lane,10877,142
Lincoln,1226,20
Linn,3878,60
Malheur,3401,58
Marion,19453,297
Morrow,1063,15
Multnomah,33485,558
Polk,3262,48
Sherman,53,0
Tillamook,528,2
Umatilla,7884,82
Union,1386,22
Wallowa,150,5
Wasco,1244,27
Washington,22482,224
Wheeler,25,1
Yamhill,3968,70
Total,166480,2391
