County,Cases1,Deaths2,Negatives3
Baker,68,2,1350
Benton,208,6,10289
Clackamas,1904,55,49946
Clatsop,95,0,4724
Columbia,128,1,5723
Coos,110,0,5234
Crook,54,1,2205
Curry,20,0,1281
Deschutes,687,11,23574
Douglas,177,2,10025
Gilliam,4,0,242
Grant,8,0,667
Harney,11,0,687
Hood River,223,0,4368
Jackson,776,2,23549
Jefferson,454,7,4143
Josephine,154,2,8666
Klamath,234,2,8700
Lake,30,0,666
Lane,682,5,51923
Lincoln,463,13,7607
Linn,377,12,13411
Malheur,1122,19,4104
Marion,3706,78,38769
Morrow,429,3,1477
Multnomah,5902,115,115615
Polk,408,14,6960
Sherman,16,0,302
Tillamook,38,0,2586
Umatilla,2616,37,11414
Union,414,2,2917
Wallowa,22,1,821
Wasco,206,3,4259
Washington,3694,40,75391
Wheeler,0,0,150
Yamhill,614,14,14068
Total,26054,447,517813
