County,Number of cases,Deaths,Negative test results
Baker,0,0,3
Benton,4,0,138
Clackamas,17,1,443
Clatsop,1,0,45
Columbia,0,0,51
Coos,0,0,53
Crook,0,0,5
Curry,0,0,12
Deschutes,10,0,102
Douglas,1,0,55
Gilliam,0,0,1
Grant,1,0,1
Harney,0,0,8
Hood River,1,0,43
Jackson,3,0,285
Jefferson,0,0,6
Josephine,1,0,34
Klamath,1,0,47
Lake,0,0,0
Lane,4,1,181
Lincoln,0,0,18
Linn,20,1,353
Malheur,0,0,18
Marion,32,1,351
Morrow,0,0,8
Multnomah,25,2,1070
Polk,3,0,80
Sherman,0,0,1
Tillamook,0,0,14
Umatilla,2,0,38
Union,1,0,14
Wallowa,0,0,3
Wasco,0,0,22
Washington,76,2,679
Wheeler,0,0,1
Yamhill,6,0,167
Total,209,8,"4,350"
