County,Total Cases1,Total deaths2
Baker,898,14
Benton,2823,19
Clackamas,15835,206
Clatsop,919,8
Columbia,1595,26
Coos,2002,32
Crook,931,19
Curry,615,9
Deschutes,7551,73
Douglas,3089,68
Gilliam,57,1
Grant,436,4
Harney,318,7
Hood River,1146,30
Jackson,10231,129
Jefferson,2094,32
Josephine,3141,64
Klamath,3768,59
Lake,420,7
Lane,11998,144
Lincoln,1322,20
Linn,4314,64
Malheur,3439,59
Marion,20687,300
Morrow,1086,15
Multnomah,35827,574
Polk,3527,52
Sherman,57,1
Tillamook,598,3
Umatilla,8029,84
Union,1424,23
Wallowa,160,5
Wasco,1329,28
Washington,24042,229
Wheeler,26,1
Yamhill,4196,75
Total,179930,2484
