County,Cases1,Deaths2,Negatives3,,,
Baker,1,0,287,,,
Benton,62,5,4067,,,
Clackamas,346,12,13317,,,
Clatsop,45,0,1703,,,
Columbia,16,0,1722,,,
Coos,32,0,1705,,,
Crook,6,0,661,,,
Curry,7,0,407,,,
Deschutes,133,0,6337,,,
Douglas,29,0,3170,,,
Gilliam,0,0,65,,,
Grant,1,0,111,,,
Harney,1,0,250,,,
Hood River,44,0,1416,,,
Jackson,71,0,7715,,,
Jefferson,57,0,1129,,,
Josephine,23,1,2607,,,
Klamath,45,0,3742,,,
Lake,2,0,164,,,
Lane,80,3,13112,,,
Lincoln,33,0,1737,,,
Linn,124,9,4581,,,
Malheur,34,0,794,,,
Marion,1039,27,10861,,,
Morrow,13,0,202,,,
Multnomah,1264,65,29801,,,
Polk,103,12,2071,,,
Sherman,1,0,111,,,
Tillamook,6,0,807,,,
Umatilla,131,3,1899,,,
Union,6,0,510,,,
Wallowa,3,0,166,,,
Wasco,33,1,1478,,,
Washington,790,18,19396,,,
Wheeler,0,0,100,,,
Yamhill,81,7,3296,,,
Total,4662,163,141497,,,
