County,Cases1,Deaths2,Negatives3
Baker,176,3,2447
Benton,501,6,19687
Clackamas,3670,70,80604
Clatsop,278,0,7211
Columbia,301,2,9163
Coos,282,1,9563
Crook,136,5,3395
Curry,72,2,2490
Deschutes,1408,13,41195
Douglas,434,10,16231
Gilliam,17,0,386
Grant,32,0,1140
Harney,45,0,1043
Hood River,296,1,6090
Jackson,2197,8,44324
Jefferson,629,11,5993
Josephine,295,4,15673
Klamath,453,3,12263
Lake,49,0,1133
Lane,2728,28,85655
Lincoln,526,13,10177
Linn,969,17,22236
Malheur,2052,38,6629
Marion,6610,116,64843
Morrow,569,7,2182
Multnomah,10705,179,187514
Polk,755,15,12922
Sherman,23,0,417
Tillamook,82,0,3824
Umatilla,3593,45,16118
Union,521,2,5481
Wallowa,62,2,1301
Wasco,375,17,6241
Washington,6663,83,120036
Wheeler,1,0,187
Yamhill,1103,15,22710
Total,48608,716,848994
