County,Total Cases1,Total deaths2,,,,
Baker,946,14,,,,
Benton,3026,19,,,,
Clackamas,17107,209,,,,
Clatsop,973,8,,,,
Columbia,1705,26,,,,
Coos,2046,33,,,,
Crook,1065,20,,,,
Curry,645,9,,,,
Deschutes,8669,73,,,,
Douglas,3220,70,,,,
Gilliam,62,1,,,,
Grant,506,5,,,,
Harney,337,8,,,,
Hood River,1179,30,,,,
Jackson,10716,135,,,,
Jefferson,2167,34,,,,
Josephine,3302,68,,,,
Klamath,4308,61,,,,
Lake,444,7,,,,
Lane,12799,145,,,,
Lincoln,1370,20,,,,
Linn,4798,67,,,,
Malheur,3498,61,,,,
Marion,21739,306,,,,
Morrow,1100,15,,,,
Multnomah,37830,583,,,,
Polk,3699,52,,,,
Sherman,58,1,,,,
Tillamook,636,3,,,,
Umatilla,8140,84,,,,
Union,1444,23,,,,
Wallowa,182,5,,,,
Wasco,1370,28,,,,
Washington,25279,229,,,,
Wheeler,28,1,,,,
Yamhill,4411,75,,,,
Total,190804,2528,,,,
