County,Positive,Deaths,Negative
Baker,0,0,67
Benton,29,5,848
Clackamas,205,7,4778
Clatsop,6,0,443
Columbia,14,0,634
Coos,15,0,517
Crook,1,0,193
Curry,4,0,143
Deschutes,75,0,1758
Douglas,23,0,975
Gilliam,0,0,20
Grant,1,0,49
Harney,1,0,51
Hood River,5,0,438
Jackson,49,0,3960
Jefferson,6,0,212
Josephine,20,1,1002
Klamath,37,0,1824
Lake,0,0,67
Lane,50,2,3112
Lincoln,5,0,479
Linn,81,7,1655
Malheur,7,0,234
Marion,456,17,3949
Morrow,6,0,78
Multnomah,677,40,11456
Polk,38,1,765
Sherman,1,0,25
Tillamook,6,0,273
Umatilla,37,0,625
Union,4,0,111
Wallowa,1,0,30
Wasco,13,1,549
Washington,474,11,7267
Wheeler,0,0,11
Yamhill,38,7,1259
Total,2385,99,49857
