County,Cases1,Total deaths2,Negative tests3
Baker,281,3,2893
Benton,791,7,22432
Clackamas,6160,77,92502
Clatsop,360,0,8187
Columbia,506,3,10331
Coos,425,3,11055
Crook,229,6,4013
Curry,135,2,2737
Deschutes,2368,15,47817
Douglas,930,18,18625
Gilliam,23,0,448
Grant,134,1,1541
Harney,99,1,1333
Hood River,401,1,6967
Jackson,3825,31,50099
Jefferson,834,11,7046
Josephine,537,4,17717
Klamath,872,4,13804
Lake,132,1,1422
Lane,4309,42,95440
Lincoln,622,15,11944
Linn,1424,23,24785
Malheur,2406,44,8198
Marion,9207,140,74652
Morrow,658,7,2536
Multnomah,17242,236,214309
Polk,1250,16,15288
Sherman,23,0,457
Tillamook,131,0,4236
Umatilla,4343,49,18104
Union,782,6,6194
Wallowa,71,3,1560
Wasco,530,19,7038
Washington,10347,101,136042
Wheeler,3,0,514
Yamhill,1729,16,26420
Total,74120,905,968686
