County,Cases1,Deaths2,Negatives3
Baker,1,0,138
Benton,51,5,3184
Clackamas,281,9,8611
Clatsop,37,0,1077
Columbia,16,0,1136
Coos,30,0,1009
Crook,1,0,392
Curry,4,0,251
Deschutes,96,0,3630
Douglas,25,0,1739
Gilliam,0,0,45
Grant,1,0,89
Harney,1,0,120
Hood River,14,0,845
Jackson,50,0,5306
Jefferson,24,0,607
Josephine,25,1,1547
Klamath,41,0,2816
Lake,0,0,98
Lane,64,2,7287
Lincoln,8,0,1075
Linn,109,8,2962
Malheur,19,0,469
Marion,827,23,6783
Morrow,12,0,132
Multnomah,984,55,19876
Polk,93,9,1315
Sherman,1,0,58
Tillamook,6,0,516
Umatilla,93,2,1236
Union,5,0,205
Wallowa,1,0,76
Wasco,18,1,928
Washington,628,15,12851
Wheeler,0,0,71
Yamhill,57,7,2175
Total,3623,137,90718
