County,Cases1,Total deaths2,Negative tests3
Baker,90,2,1459
Benton,243,6,11592
Clackamas,2142,59,55049
Clatsop,102,0,5094
Columbia,143,1,6379
Coos,131,0,6023
Crook,59,1,2385
Curry,25,0,1511
Deschutes,720,12,26552
Douglas,187,3,11717
Gilliam,4,0,257
Grant,8,0,821
Harney,12,0,742
Hood River,238,0,4651
Jackson,954,3,30043
Jefferson,486,8,4392
Josephine,174,2,10811
Klamath,242,2,9450
Lake,29,0,805
Lane,838,12,57082
Lincoln,472,13,8210
Linn,427,13,14966
Malheur,1381,22,4626
Marion,4222,85,43465
Morrow,470,4,1600
Multnomah,6522,128,129384
Polk,474,15,7980
Sherman,18,0,321
Tillamook,45,0,2790
Umatilla,2839,41,12273
Union,431,2,3160
Wallowa,23,1,885
Wasco,226,3,4574
Washington,4073,53,84020
Wheeler,0,0,157
Yamhill,706,14,15722
Total,29156,505,580948
