County,Cases1,Deaths2,Negatives3
Baker,13,0,724
Benton,128,6,7185
Clackamas,1141,30,31491
Clatsop,64,0,3090
Columbia,62,0,3714
Coos,69,0,3309
Crook,28,1,1331
Curry,10,0,854
Deschutes,371,1,14218
Douglas,87,1,6536
Gilliam,2,0,137
Grant,1,0,442
Harney,3,0,483
Hood River,132,0,3084
Jackson,242,0,15519
Jefferson,206,0,2590
Josephine,72,1,5558
Klamath,155,1,6158
Lake,29,0,382
Lane,398,3,32291
Lincoln,371,8,5641
Linn,199,10,8756
Malheur,499,5,2613
Marion,2170,62,24003
Morrow,195,1,926
Multnomah,3566,75,72388
Polk,204,12,3737
Sherman,8,0,207
Tillamook,23,0,1748
Umatilla,1381,9,6813
Union,383,2,2114
Wallowa,18,1,552
Wasco,130,3,2799
Washington,2246,21,45876
Wheeler,0,0,131
Yamhill,241,9,7797
Total,14847,262,325197
