County,Total Cases1,Total deaths2
Baker,629,7
Benton,2248,16
Clackamas,13196,169
Clatsop,766,6
Columbia,1208,21
Coos,1347,18
Crook,765,18
Curry,394,6
Deschutes,5839,58
Douglas,2312,51
Gilliam,53,1
Grant,221,1
Harney,266,6
Hood River,1057,29
Jackson,8115,108
Jefferson,1918,27
Josephine,2266,48
Klamath,2752,54
Lake,373,6
Lane,10033,121
Lincoln,1120,19
Linn,3533,55
Malheur,3331,58
Marion,18171,280
Morrow,1031,13
Multnomah,31526,514
Polk,2978,42
Sherman,52,0
Tillamook,403,2
Umatilla,7580,80
Union,1264,19
Wallowa,142,4
Wasco,1218,25
Washington,20866,209
Wheeler,22,1
Yamhill,3716,62
Total,152711,2154
