County,Cases1,Deaths2,Negatives3
Baker,266,3,2778
Benton,735,7,22280
Clackamas,5574,77,91602
Clatsop,342,0,8077
Columbia,445,3,10224
Coos,396,1,10846
Crook,201,6,3948
Curry,112,2,2729
Deschutes,1998,14,47290
Douglas,840,17,18364
Gilliam,21,0,430
Grant,127,1,1393
Harney,89,1,1144
Hood River,372,1,6756
Jackson,3490,24,49797
Jefferson,786,11,6614
Josephine,454,4,17495
Klamath,701,4,13572
Lake,109,0,1229
Lane,3953,37,94863
Lincoln,588,13,11631
Linn,1296,19,24461
Malheur,2335,39,7272
Marion,8548,131,73653
Morrow,630,7,2446
Multnomah,15386,224,212729
Polk,1106,15,15003
Sherman,23,0,448
Tillamook,113,0,4200
Umatilla,4190,48,17820
Union,720,3,6051
Unknown,0,0,2
Wallowa,70,3,1447
Wasco,488,18,6949
Washington,9222,98,135445
Wheeler,3,0,211
Yamhill,1604,16,26049
Total,67333,847,957249
